UNIT 1,UNIT 1 BIG WORDS,UNIT 2,UNIT 2 BIG WORDS,,UNIT 3,UNIT 3 BIG WORDS 
a,against,TRUE,remove,,wrote,written
an,android,my,realize,,ml,vitamin
as,another,mw,tendril,,mg,venetia
at,aquatic,re,several,,ex,variety
be,article,ms,Saxsena,,am,Sumeria
bi,attract,yes,luggage,,sri,stomach
by,batsman,met,highest,,six,station
cm,because,ted,England,,run,special
do,belongs,sat,woodman,,row,Spanish
ft,between,pay,western,,raj,savoury
gm,biology,fun,violent,,pot,Saritha
go,brought,dry,someone,,pan,saffron
he,caption,tam,smaller,,nut,require
hi,careful,map,opinion,,mum,refresh
hr,Carroll,man,holiday,,mud,readily
if,Chennai,hen,healthy,,mph,puppies
in,cleaned,ate,hangman,,mgr,pungent
is,coastal,add,fertile,,low,proceed
it,collect,war,cutting,,lit,perfume
kg,compare,sit,whisper,,lid,paprika
kl,connect,red,protect,,icy,operate
me,content,loo,plastic,,hot,October
no,correct,fat,nothing,,Goa,mustard
of,country,bag,command,,gap,mixture
oh,cricket,axe,coconut,,fro,message
on,crossly,wow,blossom,,ear,locally
or,Dattari,set,without,,cup,Krishna
oz,deliver,hap,summary,,cub,kitchen
so,develop,end,service,,cow,journey
to,discuss,men,sapling,,cam,Islamic
up,dislike,fee,Persian,,buy,history
us,display,bed,mistake,,bus,general
we,dolphin,far,emotion,,bad,fortune
age,dropped,arm,citizen,,act,foreign
ago,English,wash,ceiling,,wipe,flavour
air,equally,slim,capital,,west,explore
all,errands,mark,Bhushan,,warm,earlier
and,excited,feel,antonym,,tube,distant
any,extreme,duck,adamant,,told,control
are,feature,wind,worried,,thus,conquer
ask,finally,weak,respect,,thai,conduct
bar,grammar,wall,request,,term,combine
big,handled,trip,promise,,team,chutney
bit,heavily,sour,monsoon,,tart,Chinese
box,herself,sort,greater,,stir,certain
boy,however,sold,century,,soup,central
bug,hugging,slow,village,,soul,Calicut
but,hurried,seek,stories,,snow,Burmese
can,improve,rush,veranda,,side,balance
cat,include,root,thought,,send,ancient
com,injured,roof,replied,,salt,America
cry,install,ones,prevent,,sail,valuable
cut,January,nice,dioxide,,Rome,uncooked
das,Kovalam,next,beneath,,risk,turmeric
day,largest,lime,useless,,rich,tomatoes
did,library,join,replace,,rice,textiles
dig,located,foot,protest,,race,shopping
din,meaning,felt,example,,path,Saturday
dog,mention,dull,grasses,,past,relocate
don,million,draw,grandma,,pain,preserve
eat,morning,bond,tamarind,,pack,potatoes
eel,natural,able,vigorous,,ouch,Portugal
egg,network,wait,stopping,,mint,nutrient
eye,passage,town,meantime,,meal,merchant
few,pelican,tick,leafless,,Mani,kangaroo
fig,penguin,stop,football,,mall,Japanese
fly,perhaps,stem,chopping,,mace,gingerly
for,picture,spin,busybody,,lose,fragrant
get,popular,shri,beautify,,lake,exciting
got,pottery,role,tastiest,,kari,enormous
had,precise,rock,straight,,herb,Egyptian
has,pretend,offs,rambling,,heat,earliest
her,problem,lamp,pleasant,,gold,dwelling
him,produce,full,paradise,,fine,conserve
his,project,flow,February,,else,Columbus
hit,realise,drop,children,,dish,cinnamon
how,related,crow,bungalow,,Deva,chillies
ict,release,crop,unlikely,,cute,cardamom
its,reptile,body,together,,cure,calories
jaw,rhyming,bear,sunshine,,curd,ayurveda
job,running,view,squirrel,,corn,Arumugam
lap,section,teak,possible,,cook,aromatic
lay,settled,soil,mountain,,bump,American
led,Shefali,sing,memories,,bulb,voluntary
leg,shelter,sill,happened,,both,sugarcane
let,shining,seed,daughter,,bold,stringent
lot,similar,rain,beckoned,,boil,storybook
mar,sitting,neem,thankful,,boat,providing
may,smiling,near,provided,,blue,nutrition
mix,speaker,mind,pheasant,,best,Kozhikode
mom,species,lily,homeless,,bake,infection
new,spotted,king,disagree,,Asia,fragrance
non,stopped,item,surprise,,area,expensive
not,student,head,outlived,,Arab,expansion
now,subject,hang,Dehradun,,appa,evaporate
off,success,form,decision,,amma,countries
oil,surface,chop,contrast,,ages,consonant
old,survive,care,outhouse,,worth,condiment
one,swooped,bark,medicine,,waste,colourful
org,teacher,wood,compound,,vital,Choudhury
our,through,whom,careless,,Vasco,centuries
out,tossing,vine,contract,,value,breakfast
owl,totally,song,interact,,upset,awareness
own,towards,Sara,convince,,twist,available
pig,trapped,made,yesterday,,tried,aeroplane
put,typical,hill,attention,,trade,adventure
ram,upwards,hear,nightmare,,thick,restaurant
ran,usually,pass,landslide,,teach,quantities
rat,visitor,meet,catalogue,,tasty,profitable
raw,website,http,carefully,,Tamil,Portuguese
rod,welcome,hard,according,,super,peppermint
sad,whereas,cost,preferred,,state,particular
saw,winning,cast,delicious,,stage,kungumapoo
say,writing,busy,behaviour,,spicy,ingredient
sea,activity,leaf,amphibian,,spice,especially
see,cheerful,grew,vegetable,,speak,endangered
Sen,complete,Doon,ourselves,,south,comprising
sex,contains,demo,desperate,,sized,attractive
she,continue,date,replacing,,sheep,opportunity
sky,creative,aunt,greenness,,serve,nationality
sun,creature,tree,enjoyable,,Selvi,Mesopotamia
ten,describe,ring,dangerous,,sauce,exploration
the,discover,mango,commotion,,salty,equidistant
tip,disguise,begin,Coleridge,,route,environment
too,domestic,arrow,challenge,,round,Christopher
top,download,adopt,unlimited,,roman,adventurous
try,eggshell,truck,therefore,,roast,horticulture
two,elephant,trail,outskirts,,ripen,colonization
use,estimate,stone,meanwhile,,rinse,civilization
was,everyone,spare,foothills,,ready,alliteration
way,flippers,rocky,diversity,,Pyrus,Mediterranean
who,glossary,river,including,,puppy,entertainment
why,hatchery,raise,Mussoorie,,price,canary islands
www,identify,magic,important,,pound,
you,incubate,knock,expresses,,pinch,
zoo,interest,juice,multiplied,,phase,
also,kilogram,heard,describing,,paddy,
anti,language,early,understood,,onion,
away,leathery,dream,travelling,,means,
baby,lemonade,cross,everything,,lunch,
back,neckband,count,eucalyptus,,lemon,
ball,negative,bough,enthusiasm,,least,
bank,plastics,based,appreciate,,Lanka,
beak,platform,FALSE,usefulness,,known,
been,pointers,tower,repetition,,jewel,
