unit 1,,unit 2,,unit 3,
a,anything,Dr,accepted,bi,wherever
I,argument,Id,actually,Zia,whenever
am,chappati,us,although,win,wardrobe
an,children,act,Atlantic,vow,verbally
as,Computer,ago,basement,tmc,truthful
at,contrary,air,cherries,rat,tolerant
be,couldn't,arm,collapse,Raj,thousand
by,daughter,ash,complete,per,textbook
do,dazzling,bag,conclude,odd,template
ex,decorate,bye,constant,Mrs,targeted
go,dejected,con,continue,max,syllabus
he,describe,cow,creature,mar,syllable
in,discover,cup,criminal,joy,survival
is,distance,dry,darkness,ice,stubborn
it,district,dug,dissolve,fat,stopping
ma,elephant,fly,drumming,CEO,stepping
me,everyone,fry,evidence,car,somewhat
Mr,exchange,gap,frighten,bus,sneezing
my,exercise,has,greatest,Ben,silently
no,exertion,hid,hospital,bee,shortest
of,families,hit,longhand,Anu,services
Oh,festival,IAS,midnight,age,refusing
on,football,key,moonbeam,zone,reaction
or,function,leg,necklace,wire,rational
QR,geometry,lie,numerous,wide,pressure
so,grabbing,lit,opposite,vain,praising
to,grandson,man,pawnshop,test,position
up,happiest,map,puncture,tend,politely
We,hardware,met,raindrop,tale,physical
Wl,hungrily,oak,roommate,song,personal
add,interest,off,Saturday,sofa,peaceful
all,Internet,owl,Scotland,size,passages
and,irritate,own,scuttled,sign,overcome
any,landmark,pin,sequence,sell,onlooker
are,language,put,Sherlock,self,one-time
ask,lollipop,sat,shopping,rode,occasion
ate,magazine,set,sideways,rise,lunchbox
axe,milkmaid,sit,situated,Ravi,Lithisha
bad,minister,sum,slippers,poor,isolated
big,mischief,tie,solution,peer,insulted
bin,motorcar,tin,somebody,peak,informal
bit,mountain,top,stinging,onto,included
box,mouthful,area,straight,nick,incident
boy,multiple,arms,stranger,mine,humility
But,negative,bank,struggle,milk,honoured
buy,newcomer,bead,sunshine,mild,hesitate
can,newfound,bend,surprise,mean,Guenther
cap,nonsense,bent,Tajmahal,mask,GLOSSARY
cat,occurred,best,terrible,maid,flexible
cry,pleasure,bird,tomorrow,life,fairness
cut,positive,blew,triangle,huge,eternity
day,practise,blow,trinkets,http,entrance
den,precious,boat,trousers,html,enslaved
did,previous,body,umbrella,hope,domestic
die,quantity,bowl,unsolved,Hema,dialogue
dog,question,brow,whistled,gain,decision
don,relation,bump,afternoon,foot,December
ear,remember,bush,announced,fend,damaging
eat,response,case,apartment,feed,critical
egg,sentence,cave,arranging,fear,creative
end,shoulder,chew,assistant,easy,consumer
eye,sickness,chop,auxiliary,Dong,consoled
far,spoonful,clay,bed-sheet,desk,cheerful
few,strength,club,carefully,dent,charcoal
for,suitable,cold,character,dead,bullying
fun,swimming,crow,classmate,cult,boldness
fur,thankful,dark,clattered,cues,aircraft
get,threaten,dawn,committed,core,withdrawn
got,together,deep,crumbling,city,Vinothini
gun,treasure,Doon,darkening,care,versatile
had,tumbling,door,detective,bind,typically
hat,upstairs,edge,direction,bear,treatment
her,valuable,else,eagerness,Balu,tolerance
him,Verghese,fact,Himalayan,Ajay,therefore
his,Whatever,fall,housework,wrote,sorrowful
hot,wretched,fern,immediate,wrong,sometimes
how,youngest,find,including,woken,sincerity
ICT,yourself,gale,moonlight,witty,show-offs
keg,according,good,neighbour,whose,sensitive
kin,adjective,grey,newspaper,verse,scavenger
lay,admirable,grim,notorious,Varun,Saravanan
let,adventure,grow,paragraph,urban,religious
lip,affection,hair,perplexed,upset,purposely
lot,Anonymous,half,powerless,unity,published
low,beautiful,hall,practical,Tulir,promotion
may,breathing,hill,qualities,truth,producing
men,celebrate,hire,quickened,truly,pesticide
mom,chocolate,hiss,recognise,treat,perchance
new,Christmas,host,recognize,teddy,patriotic
not,colleague,howl,reinforce,tease,patiently
now,contented,idea,Spaulding,teach,passenger
Oct,countless,item,stiffness,Sudha,parenting
oil,different,join,structure,state,ourselves
old,disappear,joke,thronging,stand,otherwise
one,enjoyment,June,transport,speed,nightmare
our,everybody,keep,traveller,speak,mind tree
out,expensive,lead,underline,smile,limericks
pan,favourite,leaf,venturing,slave,Kumaravel
pay,generally,lean,whistling,silly,judgement
pen,impatient,list,yesterday,shows,involving
pod,jewellery,lone,accomplice,shown,intervene
pot,Karnataka,mare,altogether,shock,injustice
pre,knowledge,maze,blocked-up,Seuss,inclusion
Ram,miserable,meet,Britannica,sands,important
ran,necessary,mile,chattering,safer,imbalance
Rao,outskirts,news,describing,rules,humiliate
red,pocketful,once,dictionary,river,happiness
row,policeman,pace,discussion,rhyme,Gratitude
run,Premchand,park,expression,raise,Gollamudi
sad,Rajasthan,pass,forbidding,rains,foreigner
Sam,rearrange,past,half-wages,power,establish
saw,situation,path,happenings,perch,essential
say,Sivananda,peal,mysterious,peace,encourage
sea,something,pine,participle,newer,emphasise
see,statement,plan,pawnbroker,naked,effective
She,toothache,plum,red-haired,Muthu,diversity
six,Translate,poet,Red-Headed,movie,discussed
sky,Wikipedia,pool,settlement,mouse,diligence
son,wonderful,post,straggling,moral,difficult
sun,activities,pray,systematic,Meena,depressed
tea,affordable,quiz,travelling,meant,crossword
ten,aggravated,rain,triangular,lunch,countries
the,completely,rock,understand,loyal,conscious
toe,compulsion,rose,unfriendly,infer,concerned
Tom,determiner,Ross,unscramble,human,classroom
too,everything,ruin,alliterated,horns,care-worn
toy,excitement,rush,almond-eyed,harsh,behaviour
Try,forefather,safe,appropriate,guess,Bangalore
two,indicative,sail,attentively,grows,attention
Uma,inspection,same,examination,funny,ambitious
URL,instrument,sang,information,focus,abilities
Use,Mastanamma,save,photography,excel,vocabulary
was,shopkeeper,seen,underground,enact,Villupuram
wax,subscriber,sill,verb-tenses,earth,unkindness
